Year,Total_Cost_USD,NPV_Cost_USD,Energy_Cost_USD,PM_Asset_USD,PM_Modules_USD,CM_USD,Repl_Chassis_CapEx_USD,Repl_Modules_CapEx_USD,Units_Replaced,PM_Total_USD,Repl_Total_CapEx_USD,Run_ID
2035,305110238.42069006,183241302.60983968,116934509.00922452,105339417.83404268,2079500.0,2337400.0,77619411.57742284,800000.0,1308,107418917.83404268,78419411.57742284,6
2036,292917867.64236784,169152769.8767631,115748868.61104268,100882742.61648668,2088500.0,2254400.0,70983356.41483845,960000.0,1312,102971242.61648668,71943356.41483845,6
2037,306526524.6582698,170203298.28280258,118237571.54674438,107279192.78615347,2124600.0,2271400.0,75493760.325372,1120000.0,1274,109403792.78615347,76613760.325372,6
2038,307315120.1566996,164078055.16353858,117535611.47175708,109620338.37432446,2151700.0,2381500.0,74185970.31061807,1440000.0,1311,111772038.37432446,75625970.31061807,6
2039,303375038.6227773,155744628.28818136,117457919.27956402,104571852.7045461,2151700.0,2320900.0,75272666.63866718,1600000.0,1348,106723552.7045461,76872666.63866718,6
2022,306908645.4569971,306908645.4569971,118448743.3365071,106887739.33572519,1981300.0,2208800.0,75782062.78476484,1600000.0,1231,108869039.33572519,77382062.78476484,7
2023,296146317.12839305,284756074.1619164,118132290.01376548,104056577.2158999,1990300.0,2069400.0,68777749.89872769,1120000.0,1221,106046877.2158999,69897749.89872769,7
2024,297577151.7167908,275126804.4718849,117578139.67711557,103579657.55327821,1990300.0,2203100.0,71105954.486397,1120000.0,1338,105569957.55327821,72225954.486397,7
2025,318116150.1765886,282804099.1413972,120633224.37397037,111252662.09170288,1998400.0,2350200.0,80121663.71091533,1760000.0,1446,113251062.09170288,81881663.71091533,7
2026,312931994.9921908,267495580.82661784,120001564.63017859,109110537.72745553,1998400.0,2363000.0,78018492.63455668,1440000.0,1378,111108937.72745553,79458492.63455668,7
2027,302309963.4324035,248476753.5885208,117238917.44520384,105522650.93944927,1998400.0,2218300.0,74211695.0477504,1120000.0,1378,107521050.93944927,75331695.0477504,7
2028,302019583.1404077,238690463.6108276,120873028.39616387,111509933.8466528,1998400.0,2026500.0,64011720.897591,1600000.0,1325,113508333.8466528,65611720.897591,7
2029,301343559.48809266,228996338.74871725,116044970.15541302,100911116.51497926,1998400.0,2407600.0,78701472.81770036,1280000.0,1389,102909516.51497926,79981472.81770036,7
2030,303443008.3629049,221722833.9871097,116833659.14572096,102571189.56447682,1998400.0,2367500.0,78072259.65270711,1600000.0,1367,104569589.56447682,79672259.65270711,7
2031,295604300.8521082,207687660.75874522,116662820.1290895,101798162.73082514,1998400.0,2222700.0,70842217.99219356,2080000.0,1333,103796562.73082514,72922217.99219356,7
2032,307044520.11109185,207428276.02136597,116843097.54461929,105554903.95838082,2007400.0,2416300.0,78782818.60809176,1440000.0,1397,107562303.95838082,80222818.60809176,7
2033,304678487.08226174,197913335.46618268,119932460.19631557,109676445.75483951,2007400.0,2142500.0,69159681.13110664,1760000.0,1336,111683845.75483951,70919681.13110664,7
2034,293366552.54845595,183235883.16724074,115466551.50231573,97059039.84528777,2024500.0,2354500.0,75341961.20085244,1120000.0,1361,99083539.84528777,76461961.20085244,7
2035,308956003.4260993,185550969.4134521,119025848.97419366,109487961.67414519,2033500.0,2287500.0,75161192.77776046,960000.0,1354,111521461.67414519,76121192.77776046,7
2036,316604365.74391454,182831132.32971236,119661288.43227792,113249081.17217757,2033500.0,2385000.0,77675496.13945907,1600000.0,1364,115282581.17217757,79275496.13945907,7
2037,319628936.7767743,177478602.63212836,121282540.37447612,115916010.10190082,2033500.0,2406700.0,76390186.30039737,1600000.0,1328,117949510.10190082,77990186.30039737,7
2038,301181467.3364412,160803247.77598408,117193948.49424423,100686987.6224178,2042500.0,2478400.0,77019631.2197792,1760000.0,1351,102729487.6224178,78779631.2197792,7
2039,301125833.406395,154589946.50566047,118557491.26723383,107765232.40807812,2069600.0,2144900.0,69468609.73108308,1120000.0,1316,109834832.40807812,70588609.73108308,7
2022,296270675.07964545,296270675.07964545,117904972.62685287,103948003.76885839,1981300.0,2001800.0,69954598.68393421,480000.0,1163,105929303.76885839,70434598.68393421,8
2023,289734277.22302926,278590651.1759897,116353662.58889766,105606737.07797122,1998400.0,2001500.0,63293977.556160405,480000.0,1275,107605137.07797122,63773977.556160405,8
2024,289050727.42140603,267243645.91476148,114804599.09463713,97140000.32995546,2043500.0,2370900.0,71251727.99681348,1440000.0,1360,99183500.32995546,72691727.99681348,8
2025,301098568.2336055,267675530.7607013,115932460.03562191,100487106.60729714,2043500.0,2400400.0,78795101.59068647,1440000.0,1407,102530606.60729714,80235101.59068647,8
2026,290650766.3016259,248449493.1606312,113128635.15451862,93726714.65387934,2043500.0,2380100.0,77931816.49322796,1440000.0,1413,95770214.65387934,79371816.49322796,8
2027,286659726.4552053,235613399.58975407,115129534.22100939,96051931.27192613,2043500.0,2249900.0,69744860.9622698,1440000.0,1401,98095431.27192613,71184860.9622698,8
2028,292289249.077881,231000439.26100594,115131550.92498171,98779288.03257829,2043500.0,2186000.0,72868910.12032098,1280000.0,1354,100822788.03257829,74148910.12032098,8
2029,312624208.9917751,237568705.25105456,119567984.7504805,107760224.39113697,2043500.0,2429100.0,80023399.85015763,800000.0,1386,109803724.39113697,80823399.85015763,8
2030,304249265.86306816,222311958.44518837,120089359.17378543,105439289.72471517,2062500.0,2319400.0,73058716.96456756,1280000.0,1368,107501789.72471517,74338716.96456756,8
2031,307283693.2920607,215893446.96667552,118691554.63921219,110561742.92349146,2062500.0,2262100.0,72425795.72935705,1280000.0,1328,112624242.92349146,73705795.72935705,8
2032,305700191.79524094,206520095.98003915,118279563.10951763,105379028.1837649,2062500.0,2463600.0,75595500.50195839,1920000.0,1336,107441528.1837649,77515500.50195839,8
2033,311434555.0833767,202301948.4120517,119511916.81295308,111229263.56899062,2062500.0,2415000.0,74615874.70143299,1600000.0,1377,113291763.56899062,76215874.70143299,8
2034,306809683.84965754,191632423.3150887,119005224.39644909,106376434.04110807,2071500.0,2350600.0,75405925.41210037,1600000.0,1349,108447934.04110807,77005925.41210037,8
2035,311376961.01702744,187004933.80619454,118872471.91875249,106772880.64843895,2071500.0,2554200.0,80305908.449836,800000.0,1351,108844380.64843895,81105908.449836,8
2036,306054927.5365839,176739094.6272106,118055563.24889354,107289477.47422516,2071500.0,2302500.0,75215886.81346522,1120000.0,1299,109360977.47422516,76335886.81346522,8
2037,289710475.2272905,160865942.95790803,115700941.24410297,99328623.20510466,2109500.0,2162000.0,68969410.7780829,1440000.0,1314,101438123.20510466,70409410.7780829,8
2038,299881661.5365321,160109270.83260873,114562141.69109303,100983814.74835992,2117600.0,2353900.0,78584205.09707916,1280000.0,1299,103101414.74835992,79864205.09707916,8
